star_id,kepid,sde,snr,period,depth_ppm,duration_hours,n_transits_expected,n_in_transit_points,odd_even_ratio,odd_even_diff_sig,sec_depth_ratio,sec_depth_sig,quarter_recurrence,v_shape_metric,local_snr,residual_sde,scatter_ppm,scatter_mad_ppm,depth_to_scatter,radius_ratio,alias_ratio_half,alias_ratio_double,alias_ratio_triple,label,injected,period_days,depth_ppm_true,has_planet
KIC_7135676,7135676,11.74667632710522,255.30786267585785,231.85788201522917,1254.9104667805184,19.200000000000003,6,217,10.0,11.100038431046679,0.0,0.0,0.3333333333333333,5.0,6.820004805788906,31.953787488945704,248.55476386614683,72.55280388524179,17.296512327289726,0.03542471547917525,0.5557264036432629,1.933927933549521,1.3162643014030846,0,1.0,37.19758,413.0,1
KIC_7204360,7204360,38.912871762801,575.7040605385921,370.98608053561503,12910.930131648403,19.200000000000003,3,132,1.4015300547380014,5.854778312539521,0.0,0.0,0.23529411764705882,1.7857149698861945,53.32223516964051,42.275170001757346,1077.8888613617437,258.6165624926421,49.92305986595785,0.11362627394950696,0.5983521251212216,0.6458522005357773,0.4615361433899379,0,0.0,,,0
KIC_7205717,7205717,21.68075315821002,215.7530885431542,61.82294756324231,1626.3606461961308,19.200000000000003,23,751,0.0,0.5571528335623356,1.092668625583889,5.587822974156691,0.9411764705882353,5.0,2.3937330578832374,32.47976628223047,787.2960090051449,207.26429083980003,7.846796182817557,0.04032816194914084,0.6242279789930608,1.7626845290199822,3.5568538284904356,1,0.0,,,1
KIC_7213876,7213876,28.204703760942177,187.4818669099986,202.81068827795542,6853.834214592735,19.200000000000003,7,186,0.17623844009998574,0.8225226942313003,0.0,0.0,0.35294117647058826,4.6323607165969864,8.718450778237207,114.34500911799364,1475.4600630050168,499.1522716395289,13.730948658373222,0.08278788688324358,0.3493978574168185,0.8189919022702546,0.8909441430857744,0,1.0,61.77708,245.9,1
KIC_7256715,7256715,17.21901027958223,775.1940420730089,368.0897652421417,24390.578551084254,28.799999999999997,3,112,1.3368537966910823,3.0880808633313017,0.0006412006564099513,0.6255804422041662,0.17647058823529413,1.870619371276488,83.78398269802545,42.35871932914285,1709.7431326513808,333.823426070547,73.06431078905106,0.15617483328335668,0.38554107353698597,0.626257149326522,0.48500035791030394,0,0.0,,,0
KIC_7335881,7335881,20.255237380702958,951.5348725374831,368.0897652421417,17457.900329492844,28.799999999999997,3,112,0.9481483777248122,0.5267561483823692,0.0011992434395686944,1.3677701936416207,0.16666666666666666,2.0459795268721437,87.24418860858735,50.43783552481478,1186.5888877759378,194.57757601607844,89.72205681116232,0.13212834794052655,0.4172511205055781,0.6087900666678164,0.6092276953220099,0,1.0,200.34132,832.6,1
KIC_7345813,7345813,32.57018126261868,230.83932388778467,247.36256155770897,3115.714779881008,19.200000000000003,5,215,1.0376384173066444,0.006978372559834722,1.2705489100836953,11.637645709174665,0.35294117647058826,4.7603895594511965,5.895616117502717,62.1440611495103,740.4935015081803,198.11191586091522,15.727043809259815,0.05581858812152998,1.6326194108665797,0.5444499886816352,3.0323137914628377,0,0.0,,,0
KIC_7352971,7352971,18.726344003112704,208.46005011107798,321.1896413283962,3124.201534450855,28.799999999999997,4,249,1.5286328190925749,0.10470464805506895,0.0,0.0,0.29411764705882354,5.0,14.457924782572427,48.26836582266309,875.244791991562,236.8533259243395,13.190448233135012,0.05589455728826247,0.5200881757874384,0.9241231251526245,0.9309804471481872,0,0.0,,,0
KIC_7373610,7373610,11.12284634754366,383.71689163204053,278.9345415542446,7988.903772259916,19.200000000000003,5,115,1.0,10.147535417179599,0.0021049408179835637,0.8591719763957081,0.29411764705882354,3.497652179392366,149.1488224336198,30.78716042923981,1070.2150814679824,223.6492008840285,35.72068999433849,0.08938066777698585,0.4381526454288921,1.0826199031663564,1.4009330301581215,0,1.0,22.38845,511.0,1
KIC_7421448,7421448,25.00187746995245,992.9927511651483,194.2347745567849,21834.540136720007,19.200000000000003,7,107,0.544391523218867,3.6712389065328557,0.00016128223286399475,0.23760670459086966,0.23529411764705882,2.6318524668534597,608.083133831644,139.60733075171768,2043.473501271217,227.71060269858953,95.88723528004282,0.1477651519700095,0.37322320380622176,0.5663139615392849,1.0856948352070592,0,1.0,124.96978,1336.5,1
